SAMPLE_ID,NORTHEASTASIAN,MEDITERRANIAN,SOUTHAFRICA,SOUTHWESTASIAN,NATIVEAMERICAN,OCEANIAN,SOUTHEASTASIA,NORTHERNEUROPEAN,SUBSAHARANAFRICA,GROUP_ID
GRC11075095,0.0084,0.0086,0.082,0.0207,0,0,0,0,0.8803,Kenya
GRC11075087,0,0.0306,0.0801,0.0044,0,0.0106,0,0,0.8742,Kenya
GRC11075089,0,0.0292,0.0849,0.0124,0,0.005,0,0,0.8685,Kenya
GRC11075093,0,0.0402,0.0733,0,0,0.001,0.0021,9.00E-04,0.8823,Kenya
GRC11075094,0,0.0291,0.0824,0.0249,0,0,4.00E-04,0,0.8632,Kenya
GRC11075096,0,0.0409,0.0684,0.008,0,0,0.0011,0,0.8815,Kenya
GRC11075090,0,0.0131,0.0704,0,0.0078,0,0.0052,0,0.9035,Kenya
GRC11075085,0,0.0464,0.0864,0.0157,0.005,5.00E-04,0.0064,0,0.8397,Kenya
GRC12084534,0,0,0.1415,0,0,0,0,0,0.8585,Kroonstad_Free_State_RSA
GRC12084532,0,0,0.4208,0,0,0,0,0,0.5792,Kroonstad_Free_State_RSA
GRC12084531,0,0.0061,0.2698,0.0184,0,0.0014,0.0178,0.0122,0.6743,Kroonstad_Free_State_RSA
GRC12084533,0,0,0.3146,0,0,0,0,0,0.6853,Kroonstad_Free_State_RSA
GRC12084535,0,0.017,0.3014,2.00E-04,0,0,9.00E-04,0,0.6805,Kroonstad_Free_State_RSA
GRC12076376,0,0.748,0.007,0.1699,0.0119,0,0.0122,0,0.051,Kuwait
GRC12076378,0,0.6364,0.0115,0.2251,0.0078,0,0.0408,0,0.0782,Kuwait
GRC12076379,0.0019,0.7259,0.0041,0.2018,0,0.0148,0,0,0.0515,Kuwait
GRC12076375,0,0.4937,0.0026,0.1234,0,0.0047,0.0113,0.3421,0.022,Kuwait
GRC12076341,0.0234,0.6113,0.0211,0.3335,0.0031,0,0,0,0.0076,Kuwait
GRC12076342,0.0245,0.5997,0.0093,0.3142,0,8.00E-04,0,0,0.0515,Kuwait
GRC12076363,0.0096,0.5656,0.0158,0.2756,0,0,0.0329,0.0207,0.0798,Kuwait
GRC12076374,0.019,0.6202,0.0012,0.2928,0,0,0,0,0.0667,Kuwait
GRC12076377,0.0221,0.5366,0.0036,0.3568,0.0011,0.0022,0,0.0439,0.0336,Kuwait
GRC12076380,0.0109,0.5432,0,0.3554,0.0026,0.0065,0,0.0513,0.03,Kuwait
GRC12076392,0.0177,0.6247,0.0175,0.2795,0,0.0074,0.0015,0.0036,0.0481,Kuwait
GRC12076394,0.0459,0.4992,0.0059,0.3548,0,0,0,0.0652,0.0291,Kuwait
GRC12076398,0.0084,0.5265,0.0037,0.3496,0.0061,0.0022,0.0212,0.0035,0.0789,Kuwait
GRC12076354,0.0278,0.5149,0.0307,0.2586,0.0064,0,0.0209,0,0.1406,Kuwait
GRC12076355,0.0188,0.4486,0.003,0.3421,0.0115,0.0018,0,0.0278,0.1464,Kuwait
GRC12076364,0.0129,0.4978,0.024,0.1876,0,0.0116,0.0099,0,0.2561,Kuwait
GRC12076371,0.0436,0.4575,0.0159,0.322,0,0.0059,0.0084,0.0128,0.1338,Kuwait
